Message content,Label
au iyo ela nitumie kwenye AirtelMoney hii 0693129013 Jina litokee LUKA MWAGALA,Spam
Utatuma kwenye AirtelMoney 0683687592 jina SADIKI NKUNI,Spam
We umpigie tu mzee Edesi yeye atakusaidia ataukiwambali namaba zake ni 0655827339 yupo sumbawanga! Maana atamalipo kwake ni baada ya mafanikio! We umpigie atakusaidia,Spam
au nitumie kwenye AirtelMoney namba 0680273519 Jina  DIANA MATEMBO,Spam
"Unitumie kwenye hii Airtel 0685283346, Enock Msokwa",Spam
Nitumie kwa hii Airtel 0695-026-064 jina linakuja GEOFREY MWAMBUNGU,Spam
"Your interview has been passed, daily salary is 10000TZS, if you need,please contact me: https://t.me/FKC5588",Spam
JI:U:NGE NA FR:EE:MA:SON UPATE UTAJIRI WAMALI NYUMBA NA MAGARI BILA KA:FA:LA WASILIANA NA MKUU PIGA;0740687571/,Spam
MPIGIE MGANGA WA JADI Mzee JIMSONI ANATOWA MARI BILA KAFARA MVUTO KESI BIASHARA NYOTA PETE MAGONJW PESA ZA MAJINI KUTULIZA MKE MME pg 0617465120 au 0615902893,Spam
"(FREE~MASON(6,6,6) USIKUBALI UMASIKINI JIUNGE NA MATAJIRI 'BILA ,KAFALA* YA BINADAM (PESA MAGARI MAJUMBA NA NYOTA PG, (0698456682) UKIWA TAYALI.",Spam
babu amisi ni mtalamu wa tiba asili atakusadia Mali bila kafala kesi kilimo mume au mke nyota,Spam
masomo biashala cheo kazini mtafute n&k piga 0616663784,Spam
"Mimi mwenye nyumba, numebadilisha number ya simu ile ela ya kodi tuma kwenye number hii",Spam
"MPIGIE MZEE KILALE KWA TIBA ASILI KUMILIKI MALI BILA KAFALA ,MAPENZI KESI KAZI NYOTA BIASHARA PETE YA BAHATI KUMLUDISHA MKE AU MUME MPIGIE KWA 0698322093",Spam
TXN,Spam
"lD:MP251.Hongera na mbayako imeshinda Tsh7,000,000.00 /=milion saba kutoka Airtel TIMZA OFA kupokea pesayako piga O681097629 sante",Spam
mpigie mzee SAID nimganga wa kienyeji anatibu magonjwa masomo nzindiko malibila kafala kuludi mke au mume Pete ya Mali kuibiwa zulma mvuto nakathalka06138 87728,Spam
